step,track,model,dataset,Accuracy,F1,Memory in Mb,Time in s
40770,Binary classification,Logistic regression,Elec2,0.8186902133922002,0.7707480461481205,0.0053730010986328125,155.21761500000002
41676,Binary classification,Logistic regression,Elec2,0.8201842787215664,0.7745623007039286,0.0053730010986328125,161.85256200000003
42582,Binary classification,Logistic regression,Elec2,0.8212155370813959,0.7763841973858129,0.0053730010986328125,168.52049900000003
43488,Binary classification,Logistic regression,Elec2,0.8217209345106696,0.7773086313370673,0.0053730010986328125,175.22159400000004
44394,Binary classification,Logistic regression,Elec2,0.8211920529801324,0.7754328391988233,0.0053730010986328125,181.95569200000003
45300,Binary classification,Logistic regression,Elec2,0.8221633554083885,0.7771507607192254,0.0053730010986328125,188.72292800000002
45312,Binary classification,Logistic regression,Elec2,0.822166313559322,0.7771077672051339,0.0053730010986328125,195.49076200000002
25,Binary classification,Logistic regression,Phishing,0.64,0.6896551724137931,0.005324363708496094,0.001661
50,Binary classification,Logistic regression,Phishing,0.78,0.7755102040816326,0.005324363708496094,0.029169
75,Binary classification,Logistic regression,Phishing,0.8133333333333334,0.8157894736842105,0.005324363708496094,0.057841000000000004
100,Binary classification,Logistic regression,Phishing,0.82,0.8163265306122449,0.005324363708496094,0.08763800000000001
125,Binary classification,Logistic regression,Phishing,0.808,0.8032786885245902,0.005324363708496094,0.11863300000000002
150,Binary classification,Logistic regression,Phishing,0.8133333333333334,0.8157894736842104,0.005324363708496094,0.15074500000000002
175,Binary classification,Logistic regression,Phishing,0.8228571428571428,0.8143712574850299,0.005324363708496094,0.18396600000000002
200,Binary classification,Logistic regression,Phishing,0.82,0.8105263157894737,0.005324363708496094,0.21830000000000002
225,Binary classification,Logistic regression,Phishing,0.8177777777777778,0.8038277511961723,0.005324363708496094,0.25374
250,Binary classification,Logistic regression,Phishing,0.824,0.811965811965812,0.005324363708496094,0.290345
275,Binary classification,Logistic regression,Phishing,0.8254545454545454,0.8125,0.005564689636230469,0.328066
300,Binary classification,Logistic regression,Phishing,0.8366666666666667,0.8205128205128205,0.005564689636230469,0.36690300000000003
325,Binary classification,Logistic regression,Phishing,0.8430769230769231,0.8222996515679442,0.005564689636230469,0.40686400000000006
350,Binary classification,Logistic regression,Phishing,0.8542857142857143,0.8316831683168316,0.005564689636230469,0.4479580000000001
375,Binary classification,Logistic regression,Phishing,0.8506666666666667,0.825,0.005564689636230469,0.4901850000000001
400,Binary classification,Logistic regression,Phishing,0.8525,0.8249258160237388,0.005564689636230469,0.5335460000000001
425,Binary classification,Logistic regression,Phishing,0.8588235294117647,0.8285714285714286,0.005564689636230469,0.5780400000000001
450,Binary classification,Logistic regression,Phishing,0.8622222222222222,0.8306010928961749,0.005564689636230469,0.6236690000000001
475,Binary classification,Logistic regression,Phishing,0.8589473684210527,0.8277634961439589,0.005564689636230469,0.6704310000000001
500,Binary classification,Logistic regression,Phishing,0.86,0.8325358851674641,0.005564689636230469,0.7183740000000001
525,Binary classification,Logistic regression,Phishing,0.8590476190476191,0.827906976744186,0.005564689636230469,0.767464
550,Binary classification,Logistic regression,Phishing,0.86,0.8300220750551875,0.005564689636230469,0.817678
575,Binary classification,Logistic regression,Phishing,0.8626086956521739,0.8329809725158562,0.005564689636230469,0.86902
600,Binary classification,Logistic regression,Phishing,0.8666666666666667,0.8353909465020577,0.005564689636230469,0.921475
625,Binary classification,Logistic regression,Phishing,0.8688,0.8346774193548386,0.005564689636230469,0.9750350000000001
650,Binary classification,Logistic regression,Phishing,0.8723076923076923,0.8413001912045889,0.005564689636230469,1.029694
675,Binary classification,Logistic regression,Phishing,0.8725925925925926,0.8447653429602888,0.005564689636230469,1.0854510000000002
700,Binary classification,Logistic regression,Phishing,0.8771428571428571,0.8485915492957746,0.005564689636230469,1.1423060000000003
725,Binary classification,Logistic regression,Phishing,0.8786206896551724,0.8533333333333334,0.005564689636230469,1.2003030000000003
750,Binary classification,Logistic regression,Phishing,0.88,0.8557692307692307,0.005564689636230469,1.2594000000000003
775,Binary classification,Logistic regression,Phishing,0.8812903225806452,0.8566978193146417,0.005564689636230469,1.3195940000000004
800,Binary classification,Logistic regression,Phishing,0.88125,0.8584202682563338,0.005564689636230469,1.3808980000000004
825,Binary classification,Logistic regression,Phishing,0.8812121212121212,0.8595988538681948,0.005564689636230469,1.4433040000000004
850,Binary classification,Logistic regression,Phishing,0.8823529411764706,0.8603351955307262,0.005564689636230469,1.5068130000000004
875,Binary classification,Logistic regression,Phishing,0.8857142857142857,0.8637602179836512,0.005564689636230469,1.5714240000000004
900,Binary classification,Logistic regression,Phishing,0.8855555555555555,0.8632138114209827,0.005564689636230469,1.6371350000000005
925,Binary classification,Logistic regression,Phishing,0.8875675675675676,0.867007672634271,0.005564689636230469,1.7039470000000005
950,Binary classification,Logistic regression,Phishing,0.8863157894736842,0.8669950738916257,0.005564689636230469,1.7718630000000006
975,Binary classification,Logistic regression,Phishing,0.8871794871794871,0.8677884615384616,0.005564689636230469,1.8409200000000006
1000,Binary classification,Logistic regression,Phishing,0.888,0.8688524590163934,0.005564689636230469,1.9110810000000005
1025,Binary classification,Logistic regression,Phishing,0.8878048780487805,0.8691695108077361,0.005564689636230469,1.9823650000000004
1050,Binary classification,Logistic regression,Phishing,0.8895238095238095,0.8716814159292035,0.005564689636230469,2.0547150000000003
1075,Binary classification,Logistic regression,Phishing,0.8883720930232558,0.8715203426124196,0.005564689636230469,2.1281290000000004
1100,Binary classification,Logistic regression,Phishing,0.89,0.8735632183908045,0.005564689636230469,2.2026040000000005
1125,Binary classification,Logistic regression,Phishing,0.8906666666666667,0.8753799392097265,0.005564689636230469,2.2781410000000006
1150,Binary classification,Logistic regression,Phishing,0.8904347826086957,0.8750000000000001,0.005564689636230469,2.3547450000000008
1175,Binary classification,Logistic regression,Phishing,0.8893617021276595,0.8735408560311284,0.005564689636230469,2.4324080000000006
1200,Binary classification,Logistic regression,Phishing,0.89,0.8740458015267174,0.005564689636230469,2.5111590000000006
1225,Binary classification,Logistic regression,Phishing,0.8906122448979592,0.874766355140187,0.005564689636230469,2.5909750000000007
1250,Binary classification,Logistic regression,Phishing,0.888,0.8722627737226277,0.005564689636230469,2.671922000000001
1903,Binary classification,Logistic regression,SMTP,1.0,0.0,0.004383087158203125,0.649542
3806,Binary classification,Logistic regression,SMTP,1.0,0.0,0.004383087158203125,1.613618
5709,Binary classification,Logistic regression,SMTP,1.0,0.0,0.004383087158203125,2.905224
7612,Binary classification,Logistic regression,SMTP,1.0,0.0,0.004383087158203125,4.574042
9515,Binary classification,Logistic regression,SMTP,1.0,0.0,0.004383087158203125,6.5118160000000005
11418,Binary classification,Logistic regression,SMTP,1.0,0.0,0.004383087158203125,8.818113
13321,Binary classification,Logistic regression,SMTP,1.0,0.0,0.004383087158203125,11.407669
15224,Binary classification,Logistic regression,SMTP,0.9996715712033631,0.7058823529411764,0.004383087158203125,14.14256
17127,Binary classification,Logistic regression,SMTP,0.9997080632918783,0.761904761904762,0.004383087158203125,17.225082
19030,Binary classification,Logistic regression,SMTP,0.9997372569626904,0.761904761904762,0.004383087158203125,20.638518
20933,Binary classification,Logistic regression,SMTP,0.999761142693355,0.761904761904762,0.004383087158203125,24.253788
22836,Binary classification,Logistic regression,SMTP,0.9997810474689087,0.761904761904762,0.004383087158203125,28.292907
24739,Binary classification,Logistic regression,SMTP,0.9997978899713004,0.761904761904762,0.004383087158203125,32.686689
26642,Binary classification,Logistic regression,SMTP,0.9997747916823061,0.7272727272727273,0.004383087158203125,37.48956
28545,Binary classification,Logistic regression,SMTP,0.9997898055701524,0.7272727272727273,0.004383087158203125,42.475907
30448,Binary classification,Logistic regression,SMTP,0.9998029427220179,0.7272727272727273,0.004383087158203125,47.5909
32351,Binary classification,Logistic regression,SMTP,0.999814534326605,0.7272727272727273,0.004383087158203125,52.758005999999995
